message_id,text,difficulty_bucket,true_intent,true_escalate,llm_pred_intent,agent_escalate,agent_draft_reply,agent_escalation_reason,agent_grounding_summary,judge_accuracy,judge_relevance,judge_tone,judge_escalation_judgment,judge_overall,judge_notes
224441,@XboxSupport Is there anything wrong with filing numerous complaints against an inappropriate player? Taking into account the Code of Conduc,ambiguous,how_to_question,False,how_to_question,False,"@XboxSupport Thanks for reaching out! You’re absolutely allowed to file multiple reports if you’ve observed separate incidents that violate the Code of Conduct. Each report is evaluated individually, so don’t worry about ‘over‑reporting’ – just make sure each complaint contains clear evidence (screenshots, timestamps, etc.). To submit a report, go to the Xbox app, select the player’s profile, tap “Report player,” and follow the prompts. For more details on what’s prohibited, check the Community Guidelines link here: https://support.xbox.com/en-US/help/games-apps/games/community-guidelines. If you’re unsure whether a situation qualifies, feel free to DM us your Gamertag and a brief description and we’ll help you decide. Happy gaming!",,,4.0,5.0,5.0,5.0,5.0,"The reply is relevant and appropriately toned, though the absolute statement about filing multiple reports is somewhat assumptive but unlikely to be wrong."
2292887,@XboxSupport I bought madden18 digital version for XB1 now transferred over to XB1X and it’s saying I don’t own the game I followed all instructions for doing the transfer. Any idea how to get this back? @117331 @15913,typical,account_data_issue,True,account_data_issue,False,Hi there! Could you DM us your gamertag along with a screenshot of the error message you’re seeing? That will help us look into why Madden 18 isn’t showing up after the transfer. Thanks!,,,5.0,5.0,5.0,5.0,5.0,Reply accurately follows brand guidelines and adequately addresses the customer's issue.
154673,".@XboxSupport @123718 I put in my 25-digit code for the Assassin’s Creed Origins, ‘Secrets of the First Pyramids’ DLC twice... not really sure if it got redeemed or not since it’s not showing up in my queue. Can y’all help me out?",edge,code_activation,True,code_activation,False,"@123718 Hi there! If you go to My Games & Apps → Assassin’s Creed Origins → Manage Content, is the ‘Secrets of the First Pyramids’ DLC listed as installed? If it isn’t, try re‑redeeming the 25‑digit code again. Once you see it appear, launch the game and check the DLC menu. If it still isn’t showing up, let us know and we’ll dig deeper into your account history. ^ZM",,,5.0,5.0,5.0,5.0,5.0,"Minor wording mismatch in the game menu path, but otherwise accurate and helpful."
1151437,@XboxSupport I can’t connect to #XboxLive with #Xbox360 games on my #XboxOne. This is a new problem,typical,network_connectivity,False,network_connectivity,False,"@XboxSupport Hi! We’re here to help get your Xbox One back online. Could you DM us your Gamertag so we can investigate this issue? If you prefer, you can also start a chat with us directly: https://support.xbox.com. Thanks! ^BZ",,,3.0,5.0,5.0,5.0,4.0,"The main issue is asking for a DM for the gamertag, which may not align with standard Xbox support procedures."
1407184,"@117353 no reply from yesterday, is there anyway to get my epic games account on my Xbox after initially declining to make an account?",typical,account_data_issue,True,how_to_question,True,"@117353 Hello! To link an existing Epic Games account to your Xbox profile, please ensure you have an active Xbox profile and then visit the Epic Games website or app to connect your accounts. You can then sign in to Xbox Live and access your Epic Games content from the Microsoft Store on your console. If you encounter any issues, please reach out to our support team via the provided chat option for further assistance.
_XX","The issue involves linking an account (Epic Games) after previously declining it, which often requires specific backend verification or a distinct procedure not covered by general Link instructions. Additionally, the handling of a 'no reply from yesterday' follow-up suggests a need for case-specific manual intervention to verify previous interactions, making the generic drafted reply potentially inaccurate or insufficient.","@196945 The account would need to wait until the account age reaches the age of ; @647277 Hello! For refund inquiries, you will need to reach out chat support her",2.0,3.0,4.0,5.0,3.0,"The auto-draft contains potentially false procedural promises (implies self-service fix) despite the specific context of a prior decline and lack of previous support interaction, though the correct decision to escalate was made."
1217889,@405768 @XboxSupport I've been having connectivity issues all day,typical,network_connectivity,False,network_connectivity,False,Hey! Could you send a screenshot of your network stats (Settings > Network > Network Settings > Detailed Network Stats)? That will help us diagnose the issue. You can also double‑check the Xbox Live status here: https://support.xbox.com/en-us/xbox-live/status. Thanks!,,,5.0,5.0,5.0,5.0,5.0,"The greeting ""Hey"" is a minor deviation from the brand’s ""Heya"", but the rest of the reply accurately reflects brand policy and is fully relevant and appropriately toned."
167544,@XboxSupport I guess my issue with my OG Xbox One powering on by itself was common! It only started happening when we moved into our new place though. So far my One X doesn’t do that.,edge,hardware_issue,False,hardware_issue,False,"@Customer Hi there! Thanks for the update. To help narrow down why this is happening in your new place, is your OG Xbox One plugged directly into a wall outlet or is it connected to a power strip or surge protector? ^TJ",The drafted reply accurately mirrors the troubleshooting steps used in previous similar cases (asking about power strip vs wall outlet) and is appropriate for the hardware issue described. It does not involve sensitive topics like money or account security.,"@450642 Can you DM us your Gamertag? Also, do you have your console plugged into; @791998 Hi there! To narrow this down, is your console plugged into a power stri",5.0,5.0,5.0,5.0,5.0,"The reply perfectly aligns with the grounding examples by asking the specific diagnostic question regarding power strip usage, which is a standard first step for unexplained console power issues."
259698,@XboxSupport 0xbba error code,edge,other_unclear,True,code_activation,False,"@? Hi, thanks for reaching out. When does the 0xbba error appear? Are you trying to activate a game, console, or download content? Let me know the steps you’re taking and we can walk through the activation process together. ^RM",,,5.0,5.0,5.0,5.0,5.0,"The reply accurately follows brand style, stays relevant, maintains supportive tone, and correctly avoids escalation."
670306,@XboxSupport where can I go to report a problem/bug?,ambiguous,how_to_question,False,how_to_question,False,"Hello, Xbox Support here. We would be happy to help! Could you DM https://t.co/nPX1yNXCi5 us your Gamertag and a summary of the bug or issue you are experiencing? ^JS","The drafted reply accurately reflects the resolution strategy used in the most similar past examples (specifically the second similar message), which directs the user to DM their Gamertag and a summary of the issue. The customer's intent is a general inquiry on how to report an issue, which is not securely escalated in past precedents, and the draft correctly guides the user through the standard intake process.","@487163 Hello, Xbox Support here. Are you looking for account help on an Xbox co; @180263 We would be happy to help! Could you DM https://t.co/nPX1yNXCi5 us your ",5.0,5.0,5.0,5.0,5.0,"The draft correctly maps the customer's request for a bug report channel to the provided grounding examples, maintaining an appropriate tone and correctly deciding against escalation."
1327655,"@XboxSupport All I can help you with is, I turn on my xbox , I play tiger woods 13, I prompt my player to link to ea servers, and it tells me servers is down, nothing else shows no code of error at all",ambiguous,network_connectivity,False,network_connectivity,True,Hey there. What's going on exactly? Can you dm your GT so we can take a closer look on this. ^IS,"The drafted reply is a generic troubleshooting step ('DM your GT') that contradicts the customer's description. The customer explicitly states there is no error code, so there is no 'GT' (Game Trace) to provide. Additionally, the issue is identified as a specific third-party service outage (EA servers for Tiger Woods 13), which requires advice on checking EA service status rather than a generic Xbox support template that fails to address the specific context.",@218314 Hey there. What's going on exactly? Can you dm your GT so we can take a ; @761593 An option you may want to try is purchasing a Canadian region Xbox gift ,1.0,1.0,3.0,5.0,1.0,"The drafted reply is technically useless and irrelevant because it asks for a Game Trace code that the customer explicitly stated they do not have, failing to acknowledge the specific EA server outage context."
