message_id,text,agent_draft_reply,agent_escalate,agent_escalation_reason,human_accuracy,human_relevance,human_tone,human_escalation_judgment,human_overall,human_notes
1764870,@XboxSupport I can’t redeem my rewards in cod ww2 from major Howard I’m reaching out to u guys because Activision Support aren’t replying,@Customer Hi there! Please DM us your Gamertag so we can gather a bit of info. ^XS,False,"The draft correctly follows the established pattern of requesting the Gamertag via DM for third-party game issues (like Call of Duty), similar to the grounding examples. It does not involve direct account security vulnerabilities or financial disputes that require immediate human intervention.",3,3,4,2,3,"Generic DM deflection, ignores 'Activision not replying'"
1005416,"@XboxSupport The XboxOne Update, that applied itself while I was on vacation, deleted ALL my Local saved games. My kids are in tears!","Hi there! I'm sorry to hear about the trouble with your save files. We recommend checking the Settings > Applications and Browser Data > View Storage Devices menu to see if your saves are backed up to the cloud, as they may be restored upon re-downloading. ^RM",True,"The customer reports permanent data loss (deletion of local saves) after an auto-update, which is a high-severity, emotionally charged issue. The grounding examples are highly dissimilar (IPad, sound issues, Pink Screen) with low similarity scores, providing no valid precedent for the draft. Furthermore, the draft's advice relies on unverified assumptions about cloud backups which may not exist for all local-only saves, making it potentially inaccurate and inadequate for a data loss situation. Such issues typically require human intervention to diagnose specific cloud sync history or provide compensation/apology.",3,3,4,5,4,Reasonable empathy+advice; escalation correct given data loss
1153491,@xboxsupport I'm not be able 2 change my privacy settings 4 my Xbox live because I can't seem 2 play Minecraft servers,"@XboxSupport Hey there, can you please DM us with a full description of the issue you are having along with your Gamertag? Please include verbatims of any error you are seeing. 2 ^IS",True,"The customer states they are 'not be able' to change settings and mentions it is causing them to not play Minecraft servers, implying a potential account-level restriction, hardware issue, or complex bug that cannot be resolved by a simple 'how-to' guide. The grounding examples are weak (low similarity scores of 0.32-0.35) and contradictory in nature (one suggests settings exist, the other asks for details without solving). Standard tech support protocol for 'I can't [action]' issues usually requires gathering specific error codes or checking account status before sending a generic info-gathering response, especially when functional impact (inability to play) is reported. A human agent should investigate whether this is a ban, a sync error, or a genuine UI bug.",2,2,4,5,3,Doesn't address privacy-settings question at all
199879,I feel like I’m being punked by @XboxSupport ive been hung up on 3 times now after I ask for a refund.,"@[Username] I'm sorry to hear about those disconnections. To help move your refund request forward and get you to the right team, please use this chat link: https://t.co/MoIM62G9KX ^JA",True,"The issue involves a refund request, which falls under the 'money' category requiring human review according to the instructions. Additionally, the customer expresses frustration about being disconnected three times, indicating a heightened urgency or potential previous failed attempts that a template response might not adequately address.",4,4,4,5,4,"Solid: apologizes, gives refund path, correctly escalates"
863729,"@XboxSupport I’ve had 2 controllers since I got the console, 2 others are about a year and a half old, and the last is only a couple months old. None connect. The Xbox is directly in front of me at the end of my bed, no more then 3-4 feet from me, not sure what interference there could be.","Hi there, we're sorry to hear you're having trouble connecting your controllers. Sometimes interference or connectivity issues can be resolved by a few simple steps. Please try turning off your Wi-Fi enabled devices (like your phone) temporarily to see if that helps, and ensure the controllers have fresh or fully charged batteries. If you would like to continue troubleshooting your network connection or hardware issues, just let us know. ^JS",True,"The grounded examples are weak (low similarity scores of 0.24-0.26) and address unrelated issues (music service changes, gamerscore, game-specific bugs) rather than hardware connectivity. While the draft provides generic troubleshooting (batteries, Wi-Fi), the customer describes a confusing scenario (multiple controllers of varying ages failing despite direct line of sight), which may indicate a deeper hardware issue (console port, hub, or controller sync errors) rather than simple interference. Given the limited context in the grounding and the potential for hardware failure, a human agent should verify the specific issue to provide accurate support.",3,3,4,5,3,Generic troubleshooting undersells unusual multi-controller pattern
2566324,@XboxSupport need urgent help asap,Hey there! How can we assist you? Please let us know more details. ^RM,False,"The drafted reply aligns well with the provided grounding examples, which handle vague urgent requests by asking for more details or direct communication. While one example mentions error screenshots, asking for details is a safe and standard first step that covers the general intent without making incorrect assumptions.",4,4,4,3,3,Reasonable given zero info; 'urgent' framing arguably deserved escalation
657707,"@XboxSupport @130182 Hello support, they don’t want that I speak to a supervisor! How can I do? Please call me or contact me by mail!","@130182 We're unable to reach out via Twitter DM or initiate outbound calls directly from our social media team. To speak with a supervisor or escalate your request, please submit a support case here: https://support.xbox.com/ . Our team can then review your details and contact you through the preferred method listed in your account. ^IS",False,"The draft accurately addresses the customer's request by explaining the limitations of the social media team (no outbound calls/DMs) and providing the standard support portal link for escalation, which aligns with the provided grounding examples.",3,3,4,2,3,Doesn't honor explicit supervisor-escalation request
2654491,@XboxSupport hi was wondering if anything was going on with @138777 refunds I have invested money and time into the game that didn't look like it was shutting down,"@138777 Hey there, for all refund requests and cancellations you will want to contact our chat team here: https://t.co/lUV7XYl61S ^XS",True,"The customer expresses concern about a game shutdown or service change ('didn't look like it was shutting down'), which suggests a potential systematic issue or mass refund situation rather than a standard individual purchase cancellation. The most similar grounding example (0.32) actually indicates the issue might be a fixed technical error ('50% icon was a mistake'), making a direct referral to a chat team potentially inaccurate or unhelpful if the 'shutdown' was a display bug. Given the ambiguity of whether the game is actually shutting down or if it's a UI error, and the involvement of financial loss due to a potential systemic change, the draft's accuracy is not confident enough for auto-sending.",3,3,4,5,4,Generic but escalation correct given shutdown/refund ambiguity
2244407,@XboxSupport Did I say minutes? It took literally seconds to disconnect when I swapped them just now.,"@XboxSupport Gotcha, sorry to hear that. Mind sending us a direct message https://t.co/nPX1yNXCi5 with your Gamertag so we can further look into this? ^JA",False,"The drafted reply accurately mirrors the pattern used in the provided similar examples (acknowledging + requesting Gamertag/DM). The issue is network connectivity, which does not trigger the escalation criteria for money or account security. The similarity score is acceptable for a standard template response, and the draft is consistent with the brand's previous handling of similar brief statements.",3,3,4,2,3,"Missing-context message, should have escalated"
1578843,@ATVIAssist @115754 @115766 @115765 for 3 days now I’ve been trying to redeem my pre order code and no one is helping @XboxSupport https://t.co/2e0q0RlD0h,Hi there! Thanks for reaching out. Could you please DM us your Gamertag and a bit more summary of the issue you're facing with the code activation? ^JS,True,"The grounding examples are weak (low similarity scores) and contradictory regarding the procedure. One example indicates the team is already aware of the issue and to wait, while others ask for DM details. The draft does not acknowledge the potential known issue suggested by the higher similarity example, which could frustrate a customer who has already waited 3 days. It constitutes a risk of providing inaccurate or incomplete guidance.",3,3,3,5,4,"Doesn't acknowledge 3-day wait, but escalation correct"
