message_id,text,difficulty_bucket,difficulty_score,true_intent,gold_reply_notes,true_escalate,true_escalate_reason
224441,@XboxSupport Is there anything wrong with filing numerous complaints against an inappropriate player? Taking into account the Code of Conduc,ambiguous,2,how_to_question,Should clarify reporting policy without encouraging harassment via mass-reporting.,False,"Policy question, no account action needed."
2292887,@XboxSupport I bought madden18 digital version for XB1 now transferred over to XB1X and it’s saying I don’t own the game I followed all instructions for doing the transfer. Any idea how to get this back? @117331 @15913,typical,0,account_data_issue,Must not promise automatic restoration; direct to ownership/purchase verification.,True,"Entitlement issue tied to purchase history, needs account lookup."
154673,".@XboxSupport @123718 I put in my 25-digit code for the Assassin’s Creed Origins, ‘Secrets of the First Pyramids’ DLC twice... not really sure if it got redeemed or not since it’s not showing up in my queue. Can y’all help me out?",edge,1,code_activation,Should not assume the code redeemed; must not suggest re-entering blindly.,True,"Possible double redemption on a paid DLC code, involves money."
1151437,@XboxSupport I can’t connect to #XboxLive with #Xbox360 games on my #XboxOne. This is a new problem,typical,0,network_connectivity,Offer standard backward-compatibility troubleshooting steps.,False,"Common, well-understood issue, low risk if wrong."
1407184,"@117353 no reply from yesterday, is there anyway to get my epic games account on my Xbox after initially declining to make an account?",typical,0,account_data_issue,Should not walk through linking steps without confirming current account state.,True,"Real account-linking action, not just information."
1217889,@405768 @XboxSupport I've been having connectivity issues all day,typical,0,network_connectivity,Ask for more detail or offer general connectivity troubleshooting.,False,"Generic complaint, standard response is safe."
167544,@XboxSupport I guess my issue with my OG Xbox One powering on by itself was common! It only started happening when we moved into our new place though. So far my One X doesn’t do that.,edge,1,hardware_issue,"Suggest checking power settings/outlet, don't claim certainty on cause.",False,"Common issue, generic advice low-risk."
259698,@XboxSupport 0xbba error code,edge,1,other_unclear,Should ask a clarifying question rather than guess at a fix.,True,Too little context to classify or respond confidently.
670306,@XboxSupport where can I go to report a problem/bug?,ambiguous,2,how_to_question,"Point to the correct reporting channel, factual only.",False,Pure informational request.
1327655,"@XboxSupport All I can help you with is, I turn on my xbox , I play tiger woods 13, I prompt my player to link to ea servers, and it tells me servers is down, nothing else shows no code of error at all",ambiguous,2,network_connectivity,"Acknowledge server status issue, suggest checking service status page.",False,"Explicit 'servers is down' message, standard case."
549804,@XboxSupport If I bought a game on Amazon and got a code to put into my Xbox can I refund the money back into my PayPal?,ambiguous,2,refund_request,Must not promise a PayPal refund without checking store policy; clarify Amazon vs Microsoft refund paths.,True,Involves money and cross-platform purchase policy nuance.
2264107,@XboxSupport Is the gift a game option not available yet on the Xbox Store?,adversarial,3,how_to_question,Factual answer on gifting feature availability.,False,"Pure informational, no account action."
2062621,"@XboxSupport I tried to switch from tv to a game and my xbox one is now at a black screen, I have unplugged it and power it back on and checked all the connections what next on how to troubleshoot",ambiguous,2,hardware_issue,Offer next troubleshooting step (e.g. HDMI/power cycle check) since basic steps already tried.,False,"Mid-troubleshooting, standard next steps apply."
1591813,@ATVIAssist @115754 @116698 @XboxSupport It’s down on Xbox again https://t.co/t2IP1i4J34,edge,1,network_connectivity,"Acknowledge outage, point to service status.",False,Explicit service-down report.
1327647,"@429759 @XboxSupport leave the console off for a while and go back to try it, it happens to me since last week and I think it's software failure but they must fix it now or lose loyal customers",adversarial,3,hardware_issue,"Acknowledge frustration, avoid dismissive tone given churn threat.",True,Judgment call: genuine but ambiguous hardware complaint with a retention-risk statement ('must fix it now or lose loyal customers').
347246,@XboxSupport is there a way you can show me how to buy a power supply as a tutorial?,ambiguous,2,how_to_question,Point to an official tutorial/guide resource.,False,"Informational, no account action."
1543012,@XboxSupport Im having issues connecting to World War 2. Playstation isnt having issues but xbox is,typical,0,network_connectivity,Ask for platform-specific troubleshooting (game server connectivity).,False,Standard connectivity issue.
2858544,@XboxSupport Would I receive a code via email to redeem on Xbox when the game is released if I was to pre-order on there?,typical,0,code_activation,Factual answer on pre-order code delivery process.,False,"Informational, nothing broken yet."
1853975,@XboxSupport  I need help reactivating a old account,typical,0,account_data_issue,Must not reactivate without identity verification.,True,Account reactivation needs verification.
546890,"@247187 @129009 @XboxSupport En gros je branchais ma one sur une multi prise genre ça m’a fait comme toi, j’ai mis directement sur le secteur et ça a marché",adversarial,3,hardware_issue,Non-English message (French): describes plugging directly into a wall outlet instead of a power strip fixed the issue. Self-resolved; a reply should acknowledge and confirm no further action needed.,False,"Self-resolved power/outlet issue; low risk to acknowledge automatically. Flagged as a scoping note: this agent's grounding/retrieval pool is presumed English-majority, so non-English messages may get weaker grounding -- worth naming in report limitations."
2148531,"@XboxSupport I have gotten the newest update already, downloaded it Wednesday.",typical,0,other_unclear,Should ask what issue this update relates to before responding.,False,"Judgment call: reads as a reply to an unseen prior question, not a standalone issue."
716769,@XboxSupport I am not able to sign into any of my accounts and play my digital games. Is there anything that could cause this,typical,0,account_data_issue,Must not guess at cause; direct to account-specific troubleshooting/verification.,True,Can't sign into any account -- broad account access issue.
2312149,"@XboxSupport Hello Xbox,
I wanted to download Call of Duty from the disc but it keeps saying installation stopped.. What to do now?",ambiguous,2,game_crash_bug,"Suggest standard install-failure troubleshooting (space, disc condition, updates).",False,Standard installation failure.
2160680,@XboxSupport the game pass code that came with my X1X isn’t working. Any suggestions? https://t.co/5cAwmuHQaQ,edge,1,code_activation,Must not assume the code is invalid without checking; needs account-specific check.,True,Paid Game Pass code not working.
884591,@XboxSupport I want to downgrade I hate it,edge,1,other_unclear,Should ask what specifically is wrong rather than assume.,True,"Too vague ('I hate it'), no specifics given."
1153491,@xboxsupport I'm not be able 2 change my privacy settings 4 my Xbox live because I can't seem 2 play Minecraft servers,typical,0,how_to_question,Give privacy-settings navigation steps.,False,Settings/how-to question.
645963,@XboxSupport Trying to use your live chat for the past 3 days to talk to a person about a problem. but guess what? It's not working. I even tried different browsers and PCs.,adversarial,3,other_unclear,Should apologize for the channel issue and offer an alternative contact method.,True,"Judgment call: complaint about the support channel itself, unresolved for 3 days."
2109019,"@XboxSupport Actually, it looks like it’s working now. Thanks!",adversarial,4,other_unclear,"Brief acknowledgment only, no action needed.",False,"Self-resolved, thank-you message."
860450,@XboxSupport I get maybe 10 minutes in the server and then get booted out. Every time without fail for the last week or so.,typical,0,network_connectivity,Should escalate rather than repeat generic troubleshooting given persistence.,True,"Judgment call: recurring for a week, likely past first-line troubleshooting."
1165874,@XboxSupport hi serios problem my account Xbox Live!,edge,1,other_unclear,Should ask for specifics on what the 'serious problem' is.,True,"Too vague, self-described as serious/account-related."
1099174,@XboxSupport When I do that it can close out the game I'm playing. For example.  Grand Theft Auto online,typical,0,other_unclear,Should ask for context on what action ('that') is being referenced.,True,Missing context -- references an unstated prior instruction.
2276681,@XboxSupport Hi! I woder if it's possible to change version of a game on the xbox one?,adversarial,4,how_to_question,Factual answer on whether game versions can be changed.,False,Informational.
